"","time","containers"
"20000",20031,632
"20001",20032,619
"20002",20033,596
"20003",20034,566
"20004",20035,573
"20005",20036,580
"20006",20037,574
"20007",20038,562
"20008",20039,552
"20009",20040,588
"20010",20041,596
"20011",20042,596
"20012",20043,584
"20013",20044,560
"20014",20045,584
"20015",20046,588
"20016",20047,574
"20017",20048,551
"20018",20049,525
"20019",20050,542
"20020",20051,540
"20021",20052,527
"20022",20053,504
"20023",20054,478
"20024",20055,582
"20025",20056,584
"20026",20057,576
"20027",20058,563
"20028",20059,481
"20029",20060,612
"20030",20061,618
"20031",20062,614
"20032",20063,604
"20033",20064,581
"20034",20065,612
"20035",20066,612
"20036",20067,605
"20037",20068,584
"20038",20069,555
"20039",20070,585
"20040",20071,583
"20041",20072,574
"20042",20073,562
"20043",20074,537
"20044",20075,583
"20045",20076,583
"20046",20077,574
"20047",20078,558
"20048",20079,511
"20049",20080,586
"20050",20081,585
"20051",20082,572
"20052",20083,555
"20053",20084,538
"20054",20085,632
"20055",20086,633
"20056",20087,627
"20057",20088,609
"20058",20089,580
"20059",20090,626
"20060",20091,628
"20061",20092,619
"20062",20093,599
"20063",20094,570
"20064",20095,597
"20065",20096,595
"20066",20097,589
"20067",20098,570
"20068",20099,542
"20069",20100,593
"20070",20101,594
"20071",20102,591
"20072",20103,571
"20073",20104,556
"20074",20105,620
"20075",20106,637
"20076",20107,633
"20077",20108,621
"20078",20109,594
"20079",20110,610
"20080",20111,614
"20081",20112,604
"20082",20113,588
"20083",20114,552
"20084",20115,605
"20085",20116,607
"20086",20117,598
"20087",20118,579
"20088",20119,554
"20089",20120,597
"20090",20121,601
"20091",20122,590
"20092",20123,574
"20093",20124,548
"20094",20125,582
"20095",20126,591
"20096",20127,590
"20097",20128,575
"20098",20129,549
"20099",20130,576
"20100",20131,581
"20101",20132,576
"20102",20133,558
"20103",20134,540
"20104",20135,542
"20105",20136,547
"20106",20137,541
"20107",20138,527
"20108",20139,505
"20109",20140,546
"20110",20141,555
"20111",20142,542
"20112",20143,524
"20113",20144,507
"20114",20145,555
"20115",20146,562
"20116",20147,555
"20117",20148,543
"20118",20149,516
"20119",20150,550
"20120",20151,561
"20121",20152,559
"20122",20153,548
"20123",20154,535
"20124",20155,539
"20125",20156,545
"20126",20157,533
"20127",20158,522
"20128",20159,511
"20129",20160,547
"20130",20161,559
"20131",20162,558
"20132",20163,549
"20133",20164,528
"20134",20165,600
"20135",20166,604
"20136",20167,599
"20137",20168,583
"20138",20169,564
"20139",20170,610
"20140",20171,612
"20141",20172,602
"20142",20173,583
"20143",20174,564
"20144",20175,620
"20145",20176,624
"20146",20177,623
"20147",20178,614
"20148",20179,600
"20149",20180,634
"20150",20181,639
"20151",20182,638
"20152",20183,628
"20153",20184,612
"20154",20185,606
"20155",20186,611
"20156",20187,604
"20157",20188,583
"20158",20189,557
"20159",20190,605
"20160",20191,611
"20161",20192,558
"20162",20193,556
"20163",20194,536
"20164",20195,617
"20165",20196,625
"20166",20197,623
"20167",20198,614
"20168",20199,600
"20169",20200,643
"20170",20201,649
"20171",20202,646
"20172",20203,636
"20173",20204,618
"20174",20205,662
"20175",20206,668
"20176",20207,664
"20177",20208,652
"20178",20209,633
"20179",20210,687
"20180",20211,687
"20181",20212,680
"20182",20213,666
"20183",20214,647
"20184",20215,663
"20185",20216,666
"20186",20217,660
"20187",20218,641
"20188",20219,619
"20189",20220,657
"20190",20221,661
"20191",20222,657
"20192",20223,646
"20193",20224,630
"20194",20225,656
"20195",20226,655
"20196",20227,649
"20197",20228,636
"20198",20229,616
"20199",20230,660
"20200",20231,662
"20201",20232,658
"20202",20233,647
"20203",20234,630
"20204",20235,641
"20205",20236,649
"20206",20237,648
"20207",20238,642
"20208",20239,626
"20209",20240,668
"20210",20241,674
"20211",20242,671
"20212",20243,655
"20213",20244,638
"20214",20245,692
"20215",20246,698
"20216",20247,697
"20217",20248,683
"20218",20249,667
"20219",20250,690
"20220",20251,700
"20221",20252,699
"20222",20253,691
"20223",20254,673
"20224",20255,688
"20225",20256,694
"20226",20257,691
"20227",20258,679
"20228",20259,667
"20229",20260,693
"20230",20261,694
"20231",20262,687
"20232",20263,676
"20233",20264,659
"20234",20265,713
"20235",20266,717
"20236",20267,716
"20237",20268,705
"20238",20269,688
"20239",20270,698
"20240",20271,705
"20241",20272,704
"20242",20273,695
"20243",20274,663
"20244",20275,664
"20245",20276,667
"20246",20277,660
"20247",20278,647
"20248",20279,629
"20249",20280,674
"20250",20281,677
"20251",20282,674
"20252",20283,663
"20253",20284,642
"20254",20285,633
"20255",20286,644
"20256",20287,649
"20257",20288,645
"20258",20289,633
"20259",20290,620
"20260",20291,632
"20261",20292,632
"20262",20293,624
"20263",20294,609
"20264",20295,584
"20265",20296,594
"20266",20297,588
"20267",20298,583
"20268",20299,566
"20269",20300,577
"20270",20301,582
"20271",20302,579
"20272",20303,557
"20273",20304,544
"20274",20305,545
"20275",20306,543
"20276",20307,533
"20277",20308,517
"20278",20309,491
"20279",20310,466
"20280",20311,469
"20281",20312,474
"20282",20313,473
"20283",20314,446
"20284",20315,487
"20285",20316,490
"20286",20317,489
"20287",20318,480
"20288",20319,468
"20289",20320,446
"20290",20321,451
"20291",20322,450
"20292",20323,443
"20293",20324,436
"20294",20325,449
"20295",20326,451
"20296",20327,459
"20297",20328,452
"20298",20329,442
"20299",20330,426
"20300",20331,424
"20301",20332,418
"20302",20333,411
"20303",20334,399
"20304",20335,424
"20305",20336,426
"20306",20337,432
"20307",20338,432
"20308",20339,422
"20309",20340,448
"20310",20341,450
"20311",20342,453
"20312",20343,450
"20313",20344,444
"20314",20345,464
"20315",20346,467
"20316",20347,472
"20317",20348,470
"20318",20349,458
"20319",20350,472
"20320",20351,484
"20321",20352,485
"20322",20353,485
"20323",20354,480
"20324",20355,483
"20325",20356,481
"20326",20357,476
"20327",20358,469
"20328",20359,451
"20329",20360,420
"20330",20361,432
"20331",20362,445
"20332",20363,448
"20333",20364,444
"20334",20365,471
"20335",20366,471
"20336",20367,469
"20337",20368,463
"20338",20369,442
"20339",20370,442
"20340",20371,448
"20341",20372,444
"20342",20373,439
"20343",20374,431
"20344",20375,398
"20345",20376,403
"20346",20377,401
"20347",20378,397
"20348",20379,386
"20349",20380,395
"20350",20381,403
"20351",20382,402
"20352",20383,398
"20353",20384,383
"20354",20385,361
"20355",20386,362
"20356",20387,362
"20357",20388,362
"20358",20389,356
"20359",20390,425
"20360",20391,428
"20361",20392,426
"20362",20393,421
"20363",20394,410
"20364",20395,376
"20365",20396,404
"20366",20397,413
"20367",20398,407
"20368",20399,402
"20369",20400,439
"20370",20401,440
"20371",20402,443
"20372",20403,439
"20373",20404,431
"20374",20405,428
"20375",20406,428
"20376",20407,424
"20377",20408,394
"20378",20409,381
"20379",20410,402
"20380",20411,409
"20381",20412,413
"20382",20413,410
"20383",20414,398
"20384",20415,418
"20385",20416,420
"20386",20417,417
"20387",20418,409
"20388",20419,400
"20389",20420,401
"20390",20421,414
"20391",20422,421
"20392",20423,416
"20393",20424,406
"20394",20425,383
"20395",20426,383
"20396",20427,380
"20397",20428,370
"20398",20429,356
"20399",20430,431
"20400",20431,433
"20401",20432,434
"20402",20433,434
"20403",20434,417
"20404",20435,399
"20405",20436,395
"20406",20437,389
"20407",20438,378
"20408",20439,359
"20409",20440,338
"20410",20441,344
"20411",20442,342
"20412",20443,336
"20413",20444,323
"20414",20445,364
"20415",20446,368
"20416",20447,367
"20417",20448,362
"20418",20449,355
"20419",20450,355
"20420",20451,370
"20421",20452,369
"20422",20453,365
"20423",20454,357
"20424",20455,339
"20425",20456,342
"20426",20457,345
"20427",20458,343
"20428",20459,337
"20429",20460,378
"20430",20461,384
"20431",20462,385
"20432",20463,384
"20433",20464,372
"20434",20465,371
"20435",20466,374
"20436",20467,376
"20437",20468,374
"20438",20469,365
"20439",20470,374
"20440",20471,380
"20441",20472,379
"20442",20473,377
"20443",20474,368
"20444",20475,360
"20445",20476,364
"20446",20477,365
"20447",20478,362
"20448",20479,354
"20449",20480,373
"20450",20481,372
"20451",20482,355
"20452",20483,354
"20453",20484,350
"20454",20485,387
"20455",20486,397
"20456",20487,399
"20457",20488,397
"20458",20489,390
"20459",20490,382
"20460",20491,383
"20461",20492,381
"20462",20493,375
"20463",20494,361
"20464",20495,355
"20465",20496,358
"20466",20497,357
"20467",20498,351
"20468",20499,343
"20469",20500,309
"20470",20501,316
"20471",20502,323
"20472",20503,323
"20473",20504,316
"20474",20505,334
"20475",20506,337
"20476",20507,336
"20477",20508,331
"20478",20509,321
"20479",20510,336
"20480",20511,350
"20481",20512,348
"20482",20513,344
"20483",20514,335
"20484",20515,354
"20485",20516,358
"20486",20517,356
"20487",20518,349
"20488",20519,333
"20489",20520,335
"20490",20521,339
"20491",20522,348
"20492",20523,365
"20493",20524,360
"20494",20525,383
"20495",20526,385
"20496",20527,382
"20497",20528,377
"20498",20529,369
"20499",20530,342
"20500",20531,337
"20501",20532,335
"20502",20533,331
"20503",20534,309
"20504",20535,333
"20505",20536,333
"20506",20537,330
"20507",20538,324
"20508",20539,318
"20509",20540,286
"20510",20541,280
"20511",20542,274
"20512",20543,266
"20513",20544,256
"20514",20545,244
"20515",20546,232
"20516",20547,223
"20517",20548,223
"20518",20549,223
"20519",20550,226
"20520",20551,226
"20521",20552,226
"20522",20553,225
"20523",20554,224
"20524",20555,241
"20525",20556,242
"20526",20557,242
"20527",20558,242
"20528",20559,242
"20529",20560,237
"20530",20561,237
"20531",20562,236
"20532",20563,236
"20533",20564,236
"20534",20565,237
"20535",20566,237
"20536",20567,237
"20537",20568,237
"20538",20569,237
"20539",20570,237
"20540",20571,237
"20541",20572,237
"20542",20573,237
"20543",20574,237
"20544",20575,231
"20545",20576,230
"20546",20577,230
"20547",20578,230
"20548",20579,230
"20549",20580,224
"20550",20581,224
"20551",20582,224
"20552",20583,223
"20553",20584,223
"20554",20585,233
"20555",20586,233
"20556",20587,233
"20557",20588,233
"20558",20589,233
"20559",20590,235
"20560",20591,235
"20561",20592,235
"20562",20593,235
"20563",20594,235
"20564",20595,240
"20565",20596,240
"20566",20597,240
"20567",20598,240
"20568",20599,240
"20569",20600,239
"20570",20601,239
"20571",20602,239
"20572",20603,239
"20573",20604,239
"20574",20605,239
"20575",20606,240
"20576",20607,240
"20577",20608,240
"20578",20609,229
"20579",20610,229
"20580",20611,228
"20581",20612,228
"20582",20613,228
"20583",20614,228
"20584",20615,228
"20585",20616,228
"20586",20617,228
"20587",20618,228
"20588",20619,234
"20589",20620,234
"20590",20621,233
"20591",20622,234
"20592",20623,234
"20593",20624,242
"20594",20625,242
"20595",20626,242
"20596",20627,242
"20597",20628,242
"20598",20629,240
"20599",20630,240
"20600",20631,239
"20601",20632,240
"20602",20633,240
"20603",20634,236
"20604",20635,235
"20605",20636,235
"20606",20637,235
"20607",20638,235
"20608",20639,228
"20609",20640,228
"20610",20641,228
"20611",20642,227
"20612",20643,227
"20613",20644,227
"20614",20645,227
"20615",20646,227
"20616",20647,227
"20617",20648,226
"20618",20649,222
"20619",20650,222
"20620",20651,222
"20621",20652,222
"20622",20653,222
"20623",20654,225
"20624",20655,225
"20625",20656,226
"20626",20657,226
"20627",20658,226
"20628",20659,231
"20629",20660,230
"20630",20661,230
"20631",20662,230
"20632",20663,230
"20633",20664,239
"20634",20665,239
"20635",20666,239
"20636",20667,240
"20637",20668,240
"20638",20669,240
"20639",20670,240
"20640",20671,240
"20641",20672,240
"20642",20673,240
"20643",20674,233
"20644",20675,233
"20645",20676,233
"20646",20677,233
"20647",20678,233
"20648",20679,222
"20649",20680,222
"20650",20681,222
"20651",20682,222
"20652",20683,222
"20653",20684,228
"20654",20685,228
"20655",20686,228
"20656",20687,229
"20657",20688,229
"20658",20689,242
"20659",20690,242
"20660",20691,243
"20661",20692,240
"20662",20693,240
"20663",20694,232
"20664",20695,230
"20665",20696,229
"20666",20697,229
"20667",20698,228
"20668",20699,232
"20669",20700,232
"20670",20701,232
"20671",20702,232
"20672",20703,231
"20673",20704,233
"20674",20705,233
"20675",20706,232
"20676",20707,232
"20677",20708,232
"20678",20709,227
"20679",20710,227
"20680",20711,228
"20681",20712,228
"20682",20713,228
"20683",20714,240
"20684",20715,240
"20685",20716,240
"20686",20717,240
"20687",20718,241
"20688",20719,229
"20689",20720,229
"20690",20721,229
"20691",20722,229
"20692",20723,229
"20693",20724,248
"20694",20725,248
"20695",20726,248
"20696",20727,248
"20697",20728,248
"20698",20729,245
"20699",20730,245
"20700",20731,245
"20701",20732,245
"20702",20733,244
"20703",20734,239
"20704",20735,239
"20705",20736,239
"20706",20737,239
"20707",20738,239
"20708",20739,237
"20709",20740,236
"20710",20741,237
"20711",20742,237
"20712",20743,236
"20713",20744,238
"20714",20745,239
"20715",20746,239
"20716",20747,239
"20717",20748,239
"20718",20749,242
"20719",20750,242
"20720",20751,243
"20721",20752,243
"20722",20753,243
"20723",20754,236
"20724",20755,236
"20725",20756,236
"20726",20757,236
"20727",20758,237
"20728",20759,243
"20729",20760,245
"20730",20761,246
"20731",20762,246
"20732",20763,245
"20733",20764,244
"20734",20765,244
"20735",20766,245
"20736",20767,245
"20737",20768,243
"20738",20769,243
"20739",20770,244
"20740",20771,243
"20741",20772,242
"20742",20773,242
"20743",20774,252
"20744",20775,252
"20745",20776,251
"20746",20777,250
"20747",20778,247
"20748",20779,250
"20749",20780,251
"20750",20781,250
"20751",20782,248
"20752",20783,244
"20753",20784,245
"20754",20785,245
"20755",20786,244
"20756",20787,243
"20757",20788,241
"20758",20789,241
"20759",20790,242
"20760",20791,242
"20761",20792,241
"20762",20793,238
"20763",20794,251
"20764",20795,251
"20765",20796,250
"20766",20797,249
"20767",20798,248
"20768",20799,261
"20769",20800,263
"20770",20801,266
"20771",20802,265
