"","time","containers"
"10000",10031,723
"10001",10032,713
"10002",10033,683
"10003",10034,656
"10004",10035,690
"10005",10036,694
"10006",10037,684
"10007",10038,669
"10008",10039,653
"10009",10040,771
"10010",10041,778
"10011",10042,778
"10012",10043,769
"10013",10044,756
"10014",10045,749
"10015",10046,754
"10016",10047,749
"10017",10048,731
"10018",10049,697
"10019",10050,731
"10020",10051,739
"10021",10052,737
"10022",10053,729
"10023",10054,708
"10024",10055,760
"10025",10056,766
"10026",10057,760
"10027",10058,739
"10028",10059,696
"10029",10060,638
"10030",10061,655
"10031",10062,659
"10032",10063,638
"10033",10064,611
"10034",10065,736
"10035",10066,747
"10036",10067,747
"10037",10068,736
"10038",10069,711
"10039",10070,754
"10040",10071,771
"10041",10072,771
"10042",10073,756
"10043",10074,726
"10044",10075,729
"10045",10076,733
"10046",10077,725
"10047",10078,706
"10048",10079,677
"10049",10080,719
"10050",10081,726
"10051",10082,717
"10052",10083,692
"10053",10084,658
"10054",10085,653
"10055",10086,650
"10056",10087,635
"10057",10088,616
"10058",10089,584
"10059",10090,663
"10060",10091,671
"10061",10092,663
"10062",10093,630
"10063",10094,609
"10064",10095,717
"10065",10096,722
"10066",10097,721
"10067",10098,704
"10068",10099,683
"10069",10100,661
"10070",10101,664
"10071",10102,659
"10072",10103,640
"10073",10104,616
"10074",10105,634
"10075",10106,636
"10076",10107,631
"10077",10108,617
"10078",10109,592
"10079",10110,603
"10080",10111,614
"10081",10112,608
"10082",10113,596
"10083",10114,570
"10084",10115,589
"10085",10116,592
"10086",10117,596
"10087",10118,589
"10088",10119,574
"10089",10120,569
"10090",10121,572
"10091",10122,571
"10092",10123,562
"10093",10124,543
"10094",10125,547
"10095",10126,561
"10096",10127,561
"10097",10128,553
"10098",10129,537
"10099",10130,592
"10100",10131,601
"10101",10132,600
"10102",10133,592
"10103",10134,582
"10104",10135,611
"10105",10136,621
"10106",10137,621
"10107",10138,611
"10108",10139,597
"10109",10140,586
"10110",10141,599
"10111",10142,601
"10112",10143,588
"10113",10144,563
"10114",10145,575
"10115",10146,583
"10116",10147,577
"10117",10148,565
"10118",10149,551
"10119",10150,539
"10120",10151,549
"10121",10152,555
"10122",10153,555
"10123",10154,549
"10124",10155,567
"10125",10156,576
"10126",10157,579
"10127",10158,577
"10128",10159,567
"10129",10160,581
"10130",10161,590
"10131",10162,591
"10132",10163,585
"10133",10164,570
"10134",10165,619
"10135",10166,627
"10136",10167,632
"10137",10168,626
"10138",10169,612
"10139",10170,668
"10140",10171,681
"10141",10172,685
"10142",10173,681
"10143",10174,669
"10144",10175,646
"10145",10176,630
"10146",10177,625
"10147",10178,602
"10148",10179,592
"10149",10180,627
"10150",10181,633
"10151",10182,633
"10152",10183,632
"10153",10184,627
"10154",10185,651
"10155",10186,651
"10156",10187,648
"10157",10188,646
"10158",10189,643
"10159",10190,713
"10160",10191,711
"10161",10192,703
