,user_ID,group_ID,runtime,container0,container1,container2
1,351,354,7.0,1.0,0.0,1.0
2,287,288,5.0,1.0,0.0,1.0
3,287,288,38.0,1.0,0.0,1.0
4,351,354,42.0,0.00125,6.68461,800.0
5,351,354,8.0,1.0,0.0,1.0
6,354,357,96.0,1.0,0.0,1.0
7,354,357,3.0,0.5,0.69315,2.0
8,354,357,72.0,1.0,0.0,1.0
9,354,357,46.0,1.0,0.0,1.0
10,351,354,161.0,1.0,0.0,1.0
11,354,357,4.0,0.5,0.69315,2.0
12,354,357,880.0,1.0,0.0,1.0
13,351,354,311.0,1.0,0.0,1.0
14,351,354,27.0,1.0,0.0,1.0
15,351,354,16.0,1.0,0.0,1.0
16,354,357,2816.0,0.5,0.69315,2.0
17,354,357,3.0,0.5,0.69315,2.0
18,354,357,348.0,0.5,0.69315,2.0
19,354,357,228.0,0.5,0.69315,2.0
20,354,357,228.0,0.5,0.69315,2.0
21,351,354,4495.0,1.0,0.0,1.0
22,354,357,4526.0,1.0,0.0,1.0
23,354,357,254.0,0.01562,4.15888,64.0
24,354,357,239.0,0.01562,4.15888,64.0
25,354,357,242.0,0.01562,4.15888,64.0
26,354,357,239.0,0.01562,4.15888,64.0
27,354,357,257.0,0.01562,4.15888,64.0
28,354,357,238.0,0.01562,4.15888,64.0
29,354,357,241.0,0.01562,4.15888,64.0
30,354,357,241.0,0.01562,4.15888,64.0
31,354,357,242.0,0.01562,4.15888,64.0
32,354,357,238.0,0.01562,4.15888,64.0
33,354,357,241.0,0.01562,4.15888,64.0
34,354,357,241.0,0.01562,4.15888,64.0
35,354,357,242.0,0.01562,4.15888,64.0
36,354,357,327.0,0.01562,4.15888,64.0
37,354,357,239.0,0.01562,4.15888,64.0
38,354,357,244.0,0.01562,4.15888,64.0
39,354,357,249.0,0.01562,4.15888,64.0
40,354,357,286.0,0.01562,4.15888,64.0
41,354,357,239.0,0.01562,4.15888,64.0
42,354,357,240.0,0.01562,4.15888,64.0
43,354,357,244.0,0.01562,4.15888,64.0
44,354,357,235.0,0.03125,3.46574,32.0
45,354,357,236.0,0.0625,2.77259,16.0
46,354,357,226.0,0.5,0.69315,2.0
47,354,357,229.0,0.125,2.07944,8.0
48,354,357,231.0,0.25,1.38629,4.0
49,354,357,227.0,1.0,0.0,1.0
53,354,357,2314.0,0.01562,4.15888,64.0
54,354,357,2353.0,0.01562,4.15888,64.0
55,354,357,2358.0,0.01562,4.15888,64.0
56,354,357,2362.0,0.01562,4.15888,64.0
57,354,357,2333.0,0.01562,4.15888,64.0
58,354,357,2362.0,0.01562,4.15888,64.0
59,354,357,2321.0,0.01562,4.15888,64.0
60,354,357,2372.0,0.01562,4.15888,64.0
61,354,357,2407.0,0.01562,4.15888,64.0
62,354,357,2361.0,0.01562,4.15888,64.0
63,354,357,2365.0,0.01562,4.15888,64.0
64,354,357,2584.0,0.01562,4.15888,64.0
65,354,357,2337.0,0.01562,4.15888,64.0
66,354,357,2247.0,0.0625,2.77259,16.0
67,354,357,2228.0,0.25,1.38629,4.0
68,354,357,2226.0,1.0,0.0,1.0
69,354,357,2260.0,0.5,0.69315,2.0
70,354,357,2511.0,0.01562,4.15888,64.0
71,354,357,2444.0,0.03125,3.46574,32.0
73,354,357,2846.0,0.01562,4.15888,64.0
75,354,357,2286.0,0.125,2.07944,8.0
76,354,357,3056.0,0.01562,4.15888,64.0
77,354,357,3316.0,0.01562,4.15888,64.0
78,354,357,3633.0,0.01562,4.15888,64.0
79,354,357,3845.0,0.01562,4.15888,64.0
80,354,357,2440.0,0.01562,4.15888,64.0
81,354,357,2266.0,0.03125,3.46574,32.0
82,354,357,3987.0,0.01562,4.15888,64.0
83,354,357,2266.0,0.125,2.07944,8.0
84,354,357,2243.0,0.25,1.38629,4.0
85,354,357,2219.0,1.0,0.0,1.0
86,354,357,2255.0,0.0625,2.77259,16.0
87,539,555,332.0,0.125,2.07944,8.0
88,354,357,2356.0,0.01562,4.15888,64.0
89,354,357,2356.0,0.01562,4.15888,64.0
90,539,555,333.0,1.0,0.0,1.0
91,539,555,334.0,0.5,0.69315,2.0
92,354,357,2320.0,0.01562,4.15888,64.0
93,539,555,337.0,0.25,1.38629,4.0
94,354,357,2325.0,0.01562,4.15888,64.0
95,354,357,2514.0,0.01562,4.15888,64.0
96,354,357,2378.0,0.01562,4.15888,64.0
97,354,357,2381.0,0.01562,4.15888,64.0
98,354,357,2360.0,0.01562,4.15888,64.0
99,354,357,2344.0,0.01562,4.15888,64.0
100,354,357,2348.0,0.01562,4.15888,64.0
101,354,357,2404.0,0.01562,4.15888,64.0
102,354,357,2427.0,0.01562,4.15888,64.0
103,354,357,2349.0,0.01562,4.15888,64.0
104,354,357,3536.0,0.5,0.69315,2.0
105,354,357,2345.0,0.01562,4.15888,64.0
107,354,357,2928.0,0.01562,4.15888,64.0
108,354,357,2267.0,0.0625,2.77259,16.0
109,354,357,2219.0,1.0,0.0,1.0
110,354,357,2869.0,0.01562,4.15888,64.0
111,354,357,2286.0,0.5,0.69315,2.0
112,354,357,2250.0,0.125,2.07944,8.0
113,354,357,2474.0,0.03125,3.46574,32.0
114,539,555,334.0,0.125,2.07944,8.0
115,539,555,331.0,0.5,0.69315,2.0
116,539,555,334.0,0.25,1.38629,4.0
117,539,555,332.0,1.0,0.0,1.0
118,354,357,3096.0,0.01562,4.15888,64.0
119,354,357,2374.0,0.01562,4.15888,64.0
120,354,357,2505.0,0.01562,4.15888,64.0
121,354,357,3407.0,0.01562,4.15888,64.0
122,354,357,2342.0,0.01562,4.15888,64.0
123,354,357,2368.0,0.01562,4.15888,64.0
124,354,357,2361.0,0.01562,4.15888,64.0
125,354,357,2335.0,0.01562,4.15888,64.0
126,354,357,2351.0,0.01562,4.15888,64.0
127,354,357,2325.0,0.01562,4.15888,64.0
128,354,357,2393.0,0.01562,4.15888,64.0
129,354,357,2309.0,0.01562,4.15888,64.0
130,354,357,2344.0,0.01562,4.15888,64.0
131,354,357,2361.0,0.01562,4.15888,64.0
132,354,357,2533.0,0.01562,4.15888,64.0
133,354,357,2342.0,0.01562,4.15888,64.0
134,354,357,2353.0,0.01562,4.15888,64.0
135,354,357,3747.0,0.25,1.38629,4.0
136,354,357,2232.0,0.125,2.07944,8.0
137,354,357,2227.0,0.25,1.38629,4.0
138,354,357,2250.0,0.5,0.69315,2.0
139,354,357,2227.0,1.0,0.0,1.0
140,354,357,2268.0,0.0625,2.77259,16.0
141,354,357,3922.0,0.01562,4.15888,64.0
142,354,357,2322.0,0.01562,4.15888,64.0
143,354,357,2349.0,0.01562,4.15888,64.0
144,354,357,2964.0,0.01562,4.15888,64.0
145,354,357,2896.0,0.01562,4.15888,64.0
146,354,357,2317.0,0.01562,4.15888,64.0
147,354,357,2247.0,0.125,2.07944,8.0
148,354,357,2235.0,0.25,1.38629,4.0
149,354,357,2243.0,0.5,0.69315,2.0
150,354,357,2222.0,1.0,0.0,1.0
151,354,357,2505.0,0.01562,4.15888,64.0
152,354,357,3586.0,0.01562,4.15888,64.0
153,354,357,4219.0,0.03125,3.46574,32.0
154,354,357,2353.0,0.01562,4.15888,64.0
155,354,357,2308.0,0.01562,4.15888,64.0
156,354,357,2318.0,0.01562,4.15888,64.0
157,354,357,2434.0,0.01562,4.15888,64.0
158,354,357,2307.0,0.01562,4.15888,64.0
159,354,357,2394.0,0.01562,4.15888,64.0
160,354,357,2404.0,0.01562,4.15888,64.0
161,354,357,2438.0,0.01562,4.15888,64.0
162,354,357,2385.0,0.01562,4.15888,64.0
163,354,357,2511.0,0.01562,4.15888,64.0
164,354,357,2376.0,0.01562,4.15888,64.0
165,354,357,2481.0,0.01562,4.15888,64.0
166,354,357,2304.0,0.01562,4.15888,64.0
167,354,357,3072.0,0.03125,3.46574,32.0
168,354,357,2367.0,0.01562,4.15888,64.0
169,354,357,3441.0,0.0625,2.77259,16.0
170,354,357,2315.0,0.01562,4.15888,64.0
171,354,357,2243.0,0.25,1.38629,4.0
172,354,357,2215.0,0.5,0.69315,2.0
173,354,357,2221.0,1.0,0.0,1.0
174,354,357,2256.0,0.0625,2.77259,16.0
175,354,357,2293.0,0.03125,3.46574,32.0
176,354,357,2334.0,0.01562,4.15888,64.0
177,354,357,3777.0,0.01562,4.15888,64.0
178,354,357,2372.0,0.01562,4.15888,64.0
180,354,357,2320.0,0.01562,4.15888,64.0
181,354,357,2980.0,0.01562,4.15888,64.0
182,354,357,2345.0,0.01562,4.15888,64.0
183,354,357,2379.0,0.01562,4.15888,64.0
184,354,357,2319.0,0.01562,4.15888,64.0
185,354,357,2359.0,0.01562,4.15888,64.0
186,354,357,2310.0,0.01562,4.15888,64.0
187,354,357,2360.0,0.01562,4.15888,64.0
188,354,357,2339.0,0.01562,4.15888,64.0
189,354,357,2371.0,0.01562,4.15888,64.0
190,354,357,2327.0,0.01562,4.15888,64.0
191,354,357,2400.0,0.01562,4.15888,64.0
192,354,357,2346.0,0.01562,4.15888,64.0
193,354,357,2440.0,0.01562,4.15888,64.0
194,354,357,2228.0,1.0,0.0,1.0
195,354,357,4049.0,0.125,2.07944,8.0
196,354,357,2228.0,0.5,0.69315,2.0
197,354,357,2240.0,0.25,1.38629,4.0
198,354,357,2246.0,0.125,2.07944,8.0
199,354,357,2254.0,0.0625,2.77259,16.0
200,354,357,2323.0,0.01562,4.15888,64.0
201,354,357,3567.0,0.01562,4.15888,64.0
202,354,357,3036.0,0.03125,3.46574,32.0
203,354,357,2380.0,0.01562,4.15888,64.0
204,354,357,4227.0,0.01562,4.15888,64.0
205,354,357,2512.0,0.01562,4.15888,64.0
206,354,357,2309.0,0.01562,4.15888,64.0
207,354,357,2355.0,0.01562,4.15888,64.0
208,354,357,2379.0,0.01562,4.15888,64.0
209,354,357,2395.0,0.01562,4.15888,64.0
210,354,357,2354.0,0.01562,4.15888,64.0
