time,containers,1229360@20031,1229360@20031,1229360@20031,22137@20031,86348@20031,94632@20031,295719@20031,547209@20031,13728@20031,28533@20031,1229360@20031,1312828@20031,1446733@20031,1730606@20031,1730606@20031,1446733@20031,1312828@20031,1229360@20031,547209@20031,295719@20031,94632@20031,86348@20031,28533@20031,22137@20031,13728@20031,13728@20031,22137@20031,28533@20031,86348@20031,94632@20031,295719@20031,547209@20031,1229360@20031,1312828@20031,1446733@20031,1730606@20031,13728@20031,22137@20032,28533@20206,86348@20207,94632@20208,295719@20209,547209@20210,1229360@20211,22137@20031,28533@20032,86348@20033,94632@20034,295719@20035,547209@20036,1312828@20037,1446733@20038,1730606@20039,13728@20031,22137@20032,28533@20031,86348@20032,94632@20033,295719@20034,547209@20035,1229360@20036,1312828@20037,1446733@20038,1730606@20039,1730606@20031,1446733@20032,1312828@20033,1229360@20031,547209@20032,295719@20033,94632@20034,86348@20035,28533@20037,22137@20038,13728@20039,13728@20031,22137@20032,28533@20034,86348@20035,94632@20036,295719@20037,547209@20038,1229360@20039,1312828@20040,1446733@20041,1730606@20042
20031,632,8,8,8,342,80,80,10,128,100,12,8,22,48,64,64,48,22,8,128,10,80,80,12,342,100,100,342,12,80,80,10,128,8,22,48,64,100,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,100,0,12,0,0,0,0,0,0,0,0,64,0,0,8,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
20032,619,8,8,8,0,0,0,0,0,0,12,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,48,0,8,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0
20033,596,8,8,8,0,0,0,0,0,0,12,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,48,22,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20034,566,8,8,8,0,0,0,0,0,0,12,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,48,22,8,0,0,80,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
20035,573,8,8,8,0,0,0,0,0,0,12,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,48,22,8,0,0,0,0,0,0,0,0,0,12,80,0,0,0,0,0,0,0
20036,580,8,8,8,0,0,0,0,0,0,12,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,48,22,8,0,0,0,0,0,0,0,0,0,12,0,80,0,0,0,0,0,0
20037,574,8,8,8,0,0,0,0,0,0,12,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,12,0,0,10,0,0,0,0,0
20038,562,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,128,0,0,0,0
20039,552,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,8,22,0,64,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,0,0,0
20040,588,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0
